Lambda: 5.0	Ts: 0.0020	Simulation Time: 100.0

IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 
0.0398	3.0E-4	18.2337	18.2341	3.0E-4	0.0	0.0017	0.0	1
0.1636	0.0032	18.2736	18.2768	0.0032	0.0	0.016	0.0	1
0.3432	0.0019	18.4373	18.4393	0.0019	0.0	0.0098	0.0	1
0.2473	1.0E-4	18.7806	18.7807	1.0E-4	0.0	7.0E-4	0.0	1
0.0306	5.0E-4	19.0279	19.0284	5.0E-4	0.0	0.0025	0.0	1
0.071	0.0011	19.0586	19.0597	0.0011	0.0	0.0056	0.0	1
0.0318	0.0020	19.1297	19.1317	0.0020	0.0	0.01	0.0	1
0.1298	2.0E-4	19.1615	19.1617	2.0E-4	0.0	0.0010	0.0	1
0.034	4.0E-4	19.2913	19.2918	4.0E-4	0.0	0.0021	0.0	1
0.487	0.0059	19.3254	19.3313	0.0059	0.0	0.0296	0.0	1
0.2497	0.0039	19.8124	19.8164	0.0039	0.0	0.0199	0.0	1
0.0537	0.0031	20.0622	20.0653	0.0031	0.0	0.0155	0.0	1
0.1583	0.0018	20.1159	20.1178	0.0018	0.0	0.0091	0.0	1
0.1278	2.0E-4	20.2743	20.2746	2.0E-4	0.0	0.0014	0.0	1
0.0058	1.0E-4	20.4022	20.4023	1.0E-4	0.0	7.0E-4	0.0	1
0.0602	0.0029	20.408	20.411	0.0029	0.0	0.0149	0.0	1
0.0078	0.0041	20.4683	20.4724	0.0041	0.0	0.0208	0.0	1
0.0618	0.0012	20.4761	20.4774	0.0012	0.0	0.0064	0.0	1
0.0249	0.0032	20.538	20.5412	0.0032	0.0	0.0161	0.0	1
0.2535	0.0	20.5629	20.5629	0.0	0.0	0.0	0.0	1
0.0179	2.0E-4	20.8164	20.8167	2.0E-4	0.0	0.0011	0.0	1
0.0954	4.0E-4	20.8344	20.8348	4.0E-4	0.0	0.0020	0.0	1
0.0163	0.0020	20.9298	20.9319	0.0020	0.0	0.0101	0.0	1
0.1827	0.0023	20.9462	20.9486	0.0023	0.0	0.0118	0.0	1
