Lambda: 100.0	Ts: 0.0085	Simulation Time: 100.0

IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 
0.0024	3.0E-4	0.9177	0.9185	7.0E-4	4.0E-4	0	0	1
0.0221	0.0106	0.9201	0.9307	0.0106	0.0	1	0	1
0.0086	0.0036	0.9422	0.9459	0.0036	0.0	0	0	1
0.0118	0.0063	0.9509	0.9572	0.0063	0.0	0	0	1
0.0095	0.0080	0.9628	0.9708	0.0080	0.0	0	0	3
0.0095	0.0063	0.9661	0.9771	0.0109	0.0046	1	0	2
0.0065	0.0047	0.9679	0.9819	0.0139	0.0092	1	0	2
0.0161	0.0078	0.9774	0.9897	0.0122	0.0044	1	0	3
0.0161	0.0060	0.984	0.9957	0.0117	0.0057	1	0	2
0.0161	0.0026	0.9864	0.9983	0.0118	0.0092	1	0	1
0.0049	0.0106	1.0026	1.0133	0.0106	0.0	1	0	2
0.0256	0.0241	1.0106	1.0374	0.0267	0.0026	2	0	5
0.0256	0.0083	1.0155	1.0457	0.0302	0.0218	3	2	4
0.0043	0.0050	1.0198	1.0508	0.0309	0.0259	3	2	4
0.0052	0.0059	1.0199	1.0567	0.0367	0.0308	3	3	4
0.0049	0.0104	1.0248	1.0671	0.0422	0.0318	4	3	5
0.0177	0.0101	1.0504	1.0772	0.0268	0.0166	2	1	6
0.0177	0.0048	1.0548	1.0821	0.0273	0.0224	2	2	5
0.0177	0.0057	1.06	1.0879	0.0279	0.0221	2	2	4
0.0129	0.0056	1.0621	1.0936	0.0314	0.0258	3	2	4
0.0129	0.0039	1.0671	1.0975	0.0304	0.0264	3	2	3
0.023	0.0428	1.0717	1.1404	0.0686	0.0258	6	2	5
0.023	0.0034	1.0895	1.1438	0.0543	0.0508	5	5	4
0.0152	0.0062	1.1024	1.1501	0.0477	0.0414	4	4	4
0.0152	0.0031	1.1136	1.1533	0.0397	0.0365	3	3	3
0.0152	0.0042	1.1215	1.1575	0.0359	0.0317	3	3	2
0.0026	0.0052	1.1446	1.1628	0.0181	0.0128	1	1	3
0.0040	0.0065	1.1598	1.1693	0.0094	0.0029	0	0	5
0.0040	0.0027	1.1612	1.1721	0.0108	0.0080	1	0	4
0.0133	0.0278	1.1638	1.1999	0.036	0.0082	3	0	8
0.0133	0.0097	1.1657	1.2097	0.044	0.0342	4	3	7
0.0133	0.0022	1.1686	1.212	0.0433	0.041	4	4	6
0.0273	0.0018	1.1726	1.2138	0.0411	0.0393	4	3	6
0.0273	0.019	1.1746	1.2329	0.0582	0.0392	5	3	5
0.0273	0.0013	1.1767	1.2342	0.0574	0.0561	5	5	4
0.0273	0.0038	1.1854	1.238	0.0526	0.0488	5	4	3
0.01	0.0113	1.1991	1.2494	0.0502	0.0389	5	3	3
0.0229	0.0050	1.2124	1.2544	0.0419	0.0369	4	3	3
0.0229	0.0092	1.2397	1.2636	0.0238	0.0146	2	1	2
0.0229	0.0045	1.2498	1.2681	0.0182	0.0137	1	1	1
0.0112	0.0069	1.2727	1.2797	0.0069	0.0	0	0	1
0.014	0.0255	1.284	1.3096	0.0255	0.0	2	0	2
0.0058	0.011	1.3016	1.3206	0.019	0.0079	1	0	2
0.0085	0.0018	1.3156	1.3225	0.0068	0.0050	0	0	2
0.0111	0.0227	1.3215	1.3452	0.0237	0.0010	2	0	4
0.0111	0.0023	1.3301	1.3476	0.0175	0.0151	1	1	3
0.0111	5.0E-4	1.3326	1.3481	0.0155	0.0149	1	1	2
0.0133	0.0149	1.3378	1.3631	0.0252	0.0103	2	1	3
0.0133	0.0012	1.349	1.3643	0.0153	0.0141	1	1	2
0.0133	0.0061	1.3604	1.3704	0.01	0.0038	1	0	1
0.0117	0.0109	1.3737	1.3847	0.0109	0.0	1	0	3
0.0039	0.0097	1.3757	1.3944	0.0186	0.0089	1	0	4
0.0253	0.0267	1.3763	1.4211	0.0448	0.018	4	1	4
0.0112	0.0328	1.388	1.4539	0.0658	0.033	6	3	11
0.0112	6.0E-4	1.3924	1.4545	0.062	0.0614	6	6	10
0.0287	0.01	1.3963	1.4645	0.0682	0.0581	6	5	10
0.0287	0.0147	1.4217	1.4793	0.0576	0.0428	5	4	9
0.0287	0.0070	1.4242	1.4863	0.0621	0.0551	6	5	8
0.0287	0.0019	1.4343	1.4883	0.054	0.052	5	5	7
0.0045	0.0109	1.4378	1.4993	0.0614	0.0504	6	5	9
0.0137	0.0362	1.4445	1.5356	0.0911	0.0548	9	5	13
0.0020	0.0153	1.445	1.5509	0.1058	0.0905	10	9	13
0.0158	0.0010	1.4458	1.5519	0.1061	0.105	10	10	13
0.0158	0.0046	1.4493	1.5565	0.1072	0.1026	10	10	12
0.0158	0.0012	1.4605	1.5578	0.0972	0.096	9	9	11
0.0158	0.0089	1.4893	1.5667	0.0774	0.0685	7	6	10
0.0273	0.0020	1.4957	1.5688	0.073	0.071	7	7	10
0.0273	0.0044	1.4968	1.5732	0.0764	0.072	7	7	9
0.0273	0.0087	1.5013	1.5819	0.0806	0.0718	8	7	8
0.0273	0.0022	1.5223	1.5842	0.0619	0.0596	6	5	7
0.0273	0.0021	1.5244	1.5864	0.0619	0.0598	6	5	6
0.0273	0.0038	1.5272	1.5903	0.063	0.0591	6	5	5
0.0273	0.0	1.5352	1.5903	0.0551	0.055	5	5	4
0.035	0.0066	1.549	1.597	0.048	0.0413	4	4	4
0.035	0.0011	1.551	1.5982	0.0472	0.046	4	4	3
0.035	0.0184	1.5668	1.6167	0.0498	0.0314	4	3	2
0.035	0.0058	1.5941	1.6225	0.0283	0.0225	2	2	1
0.0152	0.0048	1.6292	1.634	0.0048	0.0	0	0	1
0.0219	0.0268	1.6445	1.6713	0.0268	0.0	2	0	4
0.0219	0.0049	1.6551	1.6763	0.0211	0.0162	2	1	3
0.0055	0.0237	1.6635	1.7001	0.0365	0.0127	3	1	5
0.0055	2.0E-4	1.6659	1.7003	0.0343	0.0341	3	3	4
0.0275	0.01	1.6879	1.7103	0.0224	0.0124	2	1	5
0.0275	0.0	1.6914	1.7103	0.0189	0.0189	1	1	4
0.0275	0.0025	1.6997	1.7129	0.0131	0.0105	1	1	3
0.0104	0.0246	1.7052	1.7375	0.0322	0.0076	3	0	3
0.0113	0.0081	1.7071	1.7456	0.0385	0.0303	3	3	3
0.0113	0.0030	1.7347	1.7487	0.0139	0.0109	1	1	2
