Lambda: 5.0	Ts: 0.15	Simulation Time: 1000.0

IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 
0.2659	0.0562	19.0553	19.5855	0.5302	0.4739	2	2	2
0.3804	0.3727	19.3798	19.9583	0.5784	0.2057	2	1	2
0.266	0.2078	19.6457	20.1661	0.5204	0.3125	2	1	2
0.266	0.017	20.0261	20.1832	0.157	0.1399	0	0	1
0.2448	0.024	20.2922	20.3163	0.024	0.0	0	0	1
0.1665	0.0918	20.5371	20.6289	0.0918	0.0	0	0	2
0.1228	0.0953	20.5475	20.7242	0.1767	0.0814	0	0	2
0.1228	0.0402	20.714	20.7645	0.0505	0.0102	0	0	1
0.1693	0.0453	20.8369	20.8823	0.0453	0.0	0	0	1
0.5701	0.0094	21.0063	21.0158	0.0094	0.0	0	0	1
0.169	0.0763	21.5764	21.6528	0.0763	0.0	0	0	2
0.169	0.0487	21.5924	21.7016	0.1091	0.0603	0	0	1
0.3045	0.0637	21.7615	21.8252	0.0637	0.0	0	0	1
0.2717	0.1736	22.0661	22.2397	0.1736	0.0	0	0	2
0.1985	0.2089	22.1446	22.4487	0.304	0.095	1	0	2
0.1985	0.0182	22.4164	22.4669	0.0505	0.0323	0	0	1
0.1456	0.5524	22.6149	23.1674	0.5524	0.0	2	0	6
0.3447	0.1631	22.7019	23.3305	0.6286	0.4654	3	2	6
0.3447	0.0643	22.7781	23.3949	0.6167	0.5524	3	2	5
0.1254	0.3364	22.9062	23.7313	0.8251	0.4886	4	2	6
1.0517	0.2093	23.0292	23.9407	0.9115	0.7021	4	3	6
1.0517	0.1591	23.1225	24.0999	0.9773	0.8181	4	4	5
1.0517	0.0475	23.2682	24.1474	0.8791	0.8316	4	4	4
1.0517	0.0464	23.613	24.1938	0.5808	0.5344	2	2	3
1.0517	0.2249	23.6425	24.4188	0.7762	0.5513	3	2	2
1.0517	0.0935	23.7679	24.5123	0.7443	0.6508	3	3	1
0.7243	0.0233	24.8197	24.843	0.0233	0.0	0	0	1
0.516	0.6655	25.544	26.2095	0.6655	0.0	3	0	3
0.516	0.241	25.6082	26.4506	0.8424	0.6013	4	3	2
0.516	0.0368	26.1505	26.4875	0.3369	0.3	1	1	1
0.103	0.2362	26.6666	26.9029	0.2362	0.0	1	0	4
0.3538	0.0697	26.7142	26.9726	0.2584	0.1887	1	0	4
0.3538	0.3072	26.8137	27.2798	0.466	0.1588	2	0	3
0.2206	0.1373	26.8372	27.4172	0.5799	0.4425	2	2	3
0.2206	0.0826	26.9403	27.4999	0.5595	0.4769	2	2	2
0.2206	0.0137	27.2941	27.5136	0.2194	0.2057	1	1	1
0.8732	0.3088	27.5147	27.8236	0.3088	0.0	1	0	2
0.8732	0.0705	27.681	27.8942	0.2131	0.1425	1	0	1
0.3324	0.29	28.5543	28.8443	0.29	0.0	1	0	2
0.3324	0.0626	28.6888	28.907	0.2182	0.1555	1	0	1
0.3357	0.0878	29.0213	29.1092	0.0878	0.0	0	0	1
0.3316	0.4199	29.3571	29.7771	0.4199	0.0	2	0	3
0.3316	0.0651	29.5899	29.8422	0.2523	0.1871	1	0	2
0.3316	0.0384	29.6856	29.8806	0.195	0.1565	0	0	1
0.0606	0.0381	30.0172	30.0553	0.0381	0.0	0	0	1
0.203	0.3829	30.0778	30.4608	0.3829	0.0	1	0	4
