0.0034	0.0184	0.8207	0.866	0.0453	0.0268	4	2	6
0.0104	0.0082	0.8348	0.8743	0.0395	0.0312	3	3	9
0.0104	0.0034	0.8424	0.8778	0.0354	0.0319	3	3	8
0.0104	0.0031	0.8568	0.881	0.0242	0.021	2	2	7
0.0104	7.0E-4	0.8614	0.8817	0.0202	0.0195	2	1	6
0.0232	0.0156	0.8641	0.8973	0.0331	0.0175	3	1	9
0.0232	0.0139	0.8675	0.9113	0.0437	0.0297	4	2	8
0.0282	0.0253	0.8712	0.9366	0.0654	0.0401	6	4	8
0.0059	0.0136	0.8736	0.9503	0.0767	0.063	7	6	8
0.0046	0.0149	0.8737	0.9652	0.0915	0.0765	9	7	9
0.0241	0.0019	0.8841	0.9672	0.083	0.0811	8	8	9
0.0241	0.0016	0.8918	0.9688	0.0769	0.0753	7	7	8
0.0241	0.0020	0.8927	0.9708	0.0781	0.076	7	7	7
0.0241	0.0031	0.8968	0.974	0.0772	0.074	7	7	6
0.0241	0.0043	0.92	0.9783	0.0583	0.0539	5	5	5
0.0241	0.0026	0.9483	0.981	0.0327	0.03	3	3	4
0.0241	0.0095	0.9542	0.9906	0.0364	0.0268	3	2	3
0.0034	0.0055	0.962	0.9962	0.0341	0.0286	3	2	4
0.0050	0.0055	0.9666	1.0017	0.035	0.0295	3	2	5
0.0048	0.014	0.9908	1.0157	0.0249	0.0108	2	1	7
0.0027	0.0069	0.9935	1.0227	0.0292	0.0222	2	2	9
0.0096	0.0239	0.997	1.0467	0.0496	0.0257	4	2	12
0.0096	8.0E-4	1.0001	1.0475	0.0473	0.0465	4	4	11
0.0096	0.0024	1.0052	1.05	0.0447	0.0422	4	4	10
0.0096	0.0050	1.0069	1.055	0.048	0.043	4	4	9
0.0373	0.0041	1.011	1.0591	0.0481	0.044	4	4	9
0.0373	0.0059	1.0158	1.0651	0.0492	0.0433	4	4	8
0.0373	0.0035	1.021	1.0686	0.0475	0.044	4	4	7
0.0373	0.0030	1.0216	1.0716	0.0499	0.0469	4	4	6
0.0373	0.0019	1.0244	1.0736	0.0491	0.0471	4	4	5
0.0373	0.0065	1.0246	1.0801	0.0555	0.049	5	4	4
0.0373	0.0038	1.0342	1.0839	0.0497	0.0458	4	4	3
0.0373	3.0E-4	1.046	1.0842	0.0382	0.0379	3	3	2
0.0249	0.0148	1.0556	1.0991	0.0434	0.0286	4	2	4
0.0249	0.0016	1.093	1.1007	0.0076	0.0060	0	0	3
0.0249	5.0E-4	1.0947	1.1013	0.0065	0.0059	0	0	2
0.0068	0.0231	1.0976	1.1244	0.0268	0.0036	2	0	2
0.0068	0.0047	1.1225	1.1291	0.0065	0.0018	0	0	1
0.0101	1.0E-4	1.1293	1.1295	1.0E-4	0.0	0	0	1
0.031	0.0105	1.1395	1.1501	0.0105	0.0	1	0	2
0.031	0.0026	1.1396	1.1527	0.0131	0.0105	1	1	1
0.0229	0.0078	1.1707	1.1785	0.0078	0.0	0	0	2
0.0229	0.0010	1.1721	1.1796	0.0075	0.0064	0	0	1
0.0173	0.0021	1.195	1.1972	0.0021	0.0	0	0	1
0.0332	0.0041	1.2123	1.2165	0.0041	0.0	0	0	2
0.0332	0.0106	1.2131	1.2272	0.0141	0.0034	1	0	1
0.0091	0.0055	1.2464	1.252	0.0055	0.0	0	0	1
0.029	0.0118	1.2555	1.2674	0.0118	0.0	1	0	2
0.029	0.0038	1.2589	1.2712	0.0123	0.0085	1	0	1
0.0435	0.0089	1.2879	1.2968	0.0089	0.0	0	0	2
0.0435	0.0038	1.2897	1.3006	0.0109	0.0070	1	0	1
0.0055	0.0019	1.3332	1.3352	0.0019	0.0	0	0	1
0.0213	0.0011	1.3388	1.3399	0.0011	0.0	0	0	1
0.0322	0.0078	1.3601	1.368	0.0078	0.0	0	0	4
0.0322	0.0095	1.3603	1.3775	0.0172	0.0076	1	0	3
0.0322	0.0012	1.3608	1.3788	0.018	0.0167	1	1	2
0.0322	0.0012	1.3616	1.38	0.0184	0.0171	1	1	1
0.0101	0.0046	1.3939	1.3985	0.0046	0.0	0	0	3
7.0E-4	0.0073	1.3945	1.4059	0.0113	0.0039	1	0	3
0.0075	0.0057	1.3955	1.4117	0.0162	0.0104	1	1	4
0.0118	0.0084	1.4056	1.4202	0.0146	0.0061	1	0	4
0.0118	0.0	1.4063	1.4202	0.0139	0.0138	1	1	3
0.0118	0.0054	1.4071	1.4257	0.0185	0.0131	1	1	2
0.0225	0.0181	1.4147	1.4439	0.0291	0.011	2	1	2
0.0248	0.0135	1.4265	1.4574	0.0309	0.0173	3	1	2
0.0248	0.0097	1.449	1.4672	0.0181	0.0084	1	0	1
0.0193	0.0158	1.4739	1.4897	0.0158	0.0	1	0	2
0.0193	0.0018	1.4834	1.4916	0.0082	0.0063	0	0	1
0.012	0.0059	1.5028	1.5087	0.0059	0.0	0	0	1
0.0325	0.0271	1.5148	1.5419	0.0271	0.0	2	0	2
0.0094	0.014	1.5226	1.5559	0.0333	0.0193	3	1	2
0.0094	0.0015	1.5552	1.5574	0.0022	7.0E-4	0	0	1
0.0328	0.0084	1.5647	1.5731	0.0084	0.0	0	0	3
0.0328	7.0E-4	1.5654	1.5739	0.0085	0.0077	0	0	2
0.0328	0.0064	1.5657	1.5804	0.0146	0.0082	1	0	1
0.0346	0.0188	1.5986	1.6174	0.0188	0.0	1	0	1
0.0216	0.0029	1.6332	1.6362	0.0029	0.0	0	0	2
0.0216	0.0127	1.6338	1.6489	0.0151	0.0023	1	0	1
0.0132	0.0121	1.6555	1.6676	0.0121	0.0	1	0	3
0.0132	0.0031	1.6579	1.6707	0.0128	0.0096	1	0	2
0.0132	0.0043	1.6657	1.6751	0.0094	0.0050	0	0	1
0.0139	0.0288	1.6789	1.7078	0.0288	0.0	2	0	4
0.0189	0.0179	1.6848	1.7258	0.0409	0.023	4	2	4
0.0016	0.0051	1.6883	1.7309	0.0425	0.0374	4	3	5
0.0113	0.0081	1.6941	1.739	0.0448	0.0367	4	3	7
0.0113	0.0066	1.7081	1.7456	0.0375	0.0309	3	3	6
0.0113	0.0031	1.727	1.7488	0.0217	0.0185	2	1	5
0.0042	0.0024	1.73	1.7512	0.0211	0.0187	2	1	5
0.0053	0.0135	1.7316	1.7647	0.033	0.0195	3	1	6
0.0053	4.0E-4	1.7321	1.7651	0.033	0.0326	3	3	5
0.0175	0.0085	1.7383	1.7736	0.0353	0.0268	3	2	7
0.0257	0.0277	1.7496	1.8014	0.0517	0.024	5	2	8
0.0257	0.0131	1.7538	1.8145	0.0606	0.0475	6	4	7
0.0142	0.0137	1.7622	1.8282	0.066	0.0523	6	5	9
0.0142	0.0024	1.7675	1.8307	0.0631	0.0607	6	6	8
0.014	0.0039	1.7694	1.8346	0.0652	0.0612	6	6	8
0.014	0.0127	1.7701	1.8474	0.0772	0.0645	7	6	7
0.0211	0.0066	1.7877	1.8541	0.0663	0.0596	6	5	8
0.0211	0.0025	1.7915	1.8566	0.0651	0.0625	6	6	7
0.0103	0.0211	1.8172	1.8777	0.0605	0.0393	6	3	8
0.026	0.0217	1.8191	1.8995	0.0803	0.0586	8	5	10
0.026	0.0046	1.8192	1.9042	0.0849	0.0802	8	8	9
0.0143	0.0166	1.8335	1.9208	0.0873	0.0707	8	7	9
0.0143	0.0039	1.8475	1.9248	0.0773	0.0733	7	7	8
0.0161	0.0138	1.8509	1.9387	0.0877	0.0739	8	7	8
0.0037	0.0112	1.872	1.9499	0.0779	0.0666	7	6	8
0.0042	0.0238	1.8763	1.9738	0.0974	0.0736	9	7	14
0.0191	0.0081	1.8866	1.982	0.0953	0.0871	9	8	14
0.0132	0.0257	1.8904	2.0077	0.1173	0.0915	11	9	14
0.0319	0.0133	1.8919	2.0211	0.1291	0.1158	12	11	16
0.0319	0.0065	1.918	2.0277	0.1097	0.1031	10	10	15
0.0319	0.0127	1.9323	2.0404	0.108	0.0953	10	9	14
0.0319	0.0015	1.9485	2.042	0.0935	0.0919	9	9	13
0.0019	0.0109	1.9522	2.0529	0.1006	0.0897	10	8	15
0.01	0.0011	1.953	2.054	0.101	0.0999	10	9	15
0.0067	0.0105	1.9555	2.0646	0.109	0.0985	10	9	15
0.0067	0.0010	1.9614	2.0656	0.1042	0.1031	10	10	14
0.0027	0.0064	1.9652	2.0721	0.1069	0.1004	10	10	16
0.0038	0.0166	1.9655	2.0888	0.1233	0.1066	12	10	20
0.01	0.0081	1.9725	2.097	0.1244	0.1163	12	11	20
0.01	0.0036	1.9768	2.1007	0.1238	0.1201	12	12	19
0.0287	0.0088	1.996	2.1095	0.1135	0.1047	11	10	19
0.0287	0.0179	2.0092	2.1275	0.1182	0.1002	11	10	18
0.0015	0.0041	2.0111	2.1316	0.1205	0.1164	12	11	18
0.0125	0.0123	2.0127	2.1439	0.1312	0.1188	13	11	18
0.0125	0.0014	2.0447	2.1454	0.1006	0.0992	10	9	17
0.0078	0.0032	2.0491	2.1486	0.0995	0.0962	9	9	17
0.0078	6.0E-4	2.0518	2.1492	0.0974	0.0968	9	9	16
0.0222	0.0105	2.0537	2.1598	0.1061	0.0955	10	9	17
0.0222	0.0054	2.0637	2.1652	0.1015	0.096	10	9	16
0.0222	0.0047	2.0704	2.17	0.0996	0.0948	9	9	15
0.0142	0.0158	2.0712	2.1859	0.1147	0.0988	11	9	15
0.0052	0.0067	2.0718	2.1926	0.1207	0.114	12	11	15
0.0086	0.0065	2.0746	2.1992	0.1245	0.118	12	11	15
0.0086	0.0031	2.0804	2.2023	0.1219	0.1188	12	11	14
0.0086	0.0028	2.0845	2.2052	0.1206	0.1178	12	11	13
0.0043	0.0034	2.0846	2.2086	0.124	0.1205	12	12	13
0.0043	8.0E-4	2.0888	2.2094	0.1206	0.1198	12	11	12
0.0078	0.0024	2.0926	2.2118	0.1192	0.1168	11	11	12
0.0078	0.0018	2.1026	2.2137	0.111	0.1092	11	10	11
0.0082	0.0040	2.1314	2.2177	0.0863	0.0822	8	8	11
0.0148	0.0269	2.133	2.2446	0.1116	0.0847	11	8	13
0.0148	0.0108	2.1455	2.2555	0.1099	0.0991	10	9	12
0.0057	0.0148	2.1533	2.2703	0.117	0.1021	11	10	16
0.0054	0.0117	2.1549	2.2821	0.1272	0.1154	12	11	17
0.0164	0.0138	2.1771	2.296	0.1189	0.105	11	10	19
0.0164	0.0123	2.1914	2.3084	0.1169	0.1046	11	10	18
0.0066	0.0143	2.1967	2.3227	0.126	0.1116	12	11	21
0.0058	0.0063	2.2053	2.329	0.1237	0.1173	12	11	21
0.0115	0.0051	2.2097	2.3341	0.1244	0.1193	12	11	21
0.0115	0.0022	2.2176	2.3364	0.1188	0.1165	11	11	20
