Lambda: 100.0	Ts: 0.0085	Simulation Time: 100.0
IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 
0.0268	0.0028	0.973	1.0456	0.0725	0.0697	7	6	14
0.0268	0.0015	0.9777	1.0471	0.0694	0.0678	6	6	13
0.0268	0.0191	0.9863	1.0662	0.0799	0.0608	7	6	12
0.0268	0.0051	0.9942	1.0714	0.0772	0.072	7	7	11
0.0134	0.0066	1.0106	1.078	0.0674	0.0607	6	6	11
0.0297	0.0218	1.0112	1.0999	0.0886	0.0667	8	6	11
0.0297	0.0015	1.02	1.1014	0.0814	0.0799	8	7	10
0.0297	0.0075	1.0239	1.109	0.085	0.0775	8	7	9
0.0128	0.0126	1.0336	1.1216	0.088	0.0753	8	7	9
0.0128	0.0	1.0342	1.1216	0.0873	0.0873	8	8	8
0.0128	0.0040	1.0344	1.1256	0.0911	0.0871	9	8	7
0.0222	0.0035	1.0383	1.1291	0.0907	0.0872	9	8	7
0.0222	0.016	1.0404	1.1451	0.1047	0.0886	10	8	6
0.0222	1.0E-4	1.0452	1.1453	0.1001	0.0999	10	9	5
0.0222	3.0E-4	1.072	1.1456	0.0736	0.0732	7	7	4
0.0203	0.0099	1.0855	1.1556	0.07	0.0601	7	6	5
0.0203	0.0015	1.1153	1.1571	0.0418	0.0402	4	4	4
0.0203	0.0102	1.1282	1.1674	0.0392	0.0289	3	2	3
0.0319	0.0229	1.1504	1.1904	0.0399	0.017	3	1	7
0.0319	0.0088	1.1527	1.1993	0.0465	0.0376	4	3	6
0.0319	0.0061	1.1731	1.2055	0.0323	0.0261	3	2	5
0.0319	0.0036	1.1758	1.2092	0.0334	0.0297	3	2	4
0.0319	9.0E-4	1.1804	1.2102	0.0297	0.0288	2	2	3
0.0319	8.0E-4	1.1861	1.2111	0.0249	0.024	2	2	2
0.0217	0.0125	1.1877	1.2236	0.0358	0.0233	3	2	2
0.0217	0.0122	1.2196	1.2358	0.0162	0.0039	1	0	1
0.0051	0.0061	1.2413	1.2475	0.0061	0.0	0	0	2
0.0051	2.0E-4	1.2468	1.2477	9.0E-4	6.0E-4	0	0	1
0.0066	0.0036	1.2519	1.2556	0.0036	0.0	0	0	1
0.0086	0.0077	1.2586	1.2663	0.0077	0.0	0	0	2
0.0086	0.0017	1.263	1.2681	0.0051	0.0033	0	0	1
0.0243	0.0020	1.2716	1.2737	0.0020	0.0	0	0	1
0.0203	0.0109	1.2959	1.3069	0.0109	0.0	1	0	1
0.014	0.0023	1.3163	1.3186	0.0023	0.0	0	0	1
0.0033	0.0095	1.3303	1.3399	0.0095	0.0	0	0	2
0.0315	0.016	1.337	1.3559	0.0188	0.0028	1	0	2
0.0315	0.0019	1.3404	1.3578	0.0173	0.0154	1	1	1
0.0308	0.0048	1.372	1.3769	0.0048	0.0	0	0	1
0.0287	0.0149	1.4029	1.4178	0.0149	0.0	1	0	1
0.0055	0.0011	1.4316	1.4328	0.0011	0.0	0	0	1
0.0119	0.016	1.4372	1.4532	0.016	0.0	1	0	3
0.0087	0.0091	1.4399	1.4624	0.0224	0.0133	2	1	3
0.0030	0.0056	1.443	1.468	0.0249	0.0193	2	1	4
0.0103	0.0205	1.455	1.4885	0.0335	0.0129	3	1	7
0.0124	0.0143	1.4638	1.5028	0.039	0.0247	3	2	9
0.0090	0.0087	1.4666	1.5116	0.0449	0.0362	4	3	9
0.0146	0.0039	1.4696	1.5155	0.0459	0.0419	4	4	9
0.0146	0.0124	1.4707	1.5279	0.0571	0.0447	5	4	8
0.0127	0.0363	1.4722	1.5642	0.092	0.0557	9	5	12
0.0423	0.0336	1.4782	1.5979	0.1196	0.086	11	8	12
0.0423	0.0038	1.4886	1.6017	0.1131	0.1093	11	10	11
0.0055	0.0128	1.4918	1.6146	0.1227	0.1099	12	10	12
0.0040	0.0037	1.4929	1.6183	0.1254	0.1216	12	12	12
0.0040	5.0E-4	1.5054	1.6189	0.1135	0.1129	11	11	11
0.0049	0.0058	1.5144	1.6247	0.1102	0.1044	11	10	11
0.0046	0.0046	1.5291	1.6294	0.1002	0.0956	10	9	11
0.0045	0.0066	1.5366	1.636	0.0994	0.0928	9	9	12
0.0045	0.0018	1.5446	1.6378	0.0931	0.0913	9	9	11
0.0063	0.0045	1.5555	1.6423	0.0868	0.0823	8	8	11
0.0109	0.0171	1.5566	1.6595	0.1028	0.0857	10	8	12
0.0109	0.0020	1.5693	1.6615	0.0921	0.0901	9	9	11
0.0109	0.0012	1.6117	1.6628	0.051	0.0498	5	4	10
0.0227	0.0246	1.612	1.6874	0.0753	0.0507	7	5	11
0.0227	0.0055	1.6176	1.6929	0.0753	0.0698	7	6	10
0.0227	0.0013	1.6216	1.6943	0.0726	0.0712	7	7	9
0.0016	0.0072	1.6265	1.7016	0.075	0.0677	7	6	9
0.0167	0.0142	1.6312	1.7158	0.0846	0.0703	8	7	10
0.0094	0.0047	1.6338	1.7206	0.0868	0.082	8	8	10
0.0094	0.0067	1.6384	1.7273	0.0889	0.0822	8	8	9
0.0031	0.0032	1.6447	1.7306	0.0859	0.0826	8	8	9
0.0031	2.0E-4	1.652	1.7309	0.0789	0.0786	7	7	8
0.0121	0.0031	1.6629	1.734	0.071	0.0679	7	6	8
0.0121	0.0049	1.6785	1.739	0.0605	0.0555	6	5	7
0.0121	0.0042	1.7012	1.7433	0.042	0.0377	4	3	6
0.0072	0.0077	1.7029	1.751	0.048	0.0403	4	4	6
0.0155	0.0040	1.703	1.755	0.052	0.0479	5	4	6
0.0155	0.0025	1.7198	1.7576	0.0378	0.0352	3	3	5
0.0122	0.0286	1.7292	1.7863	0.057	0.0284	5	2	9
0.0122	0.0018	1.7323	1.7881	0.0557	0.0539	5	5	8
0.0234	0.0045	1.7445	1.7926	0.0481	0.0436	4	4	8
0.0234	6.0E-4	1.7518	1.7933	0.0414	0.0408	4	4	7
0.0234	0.0080	1.7673	1.8014	0.034	0.0259	3	2	6
0.0234	0.0024	1.7713	1.8038	0.0325	0.03	3	3	5
0.0141	0.0109	1.7728	1.8148	0.0419	0.031	4	3	5
0.0133	0.0176	1.7779	1.8324	0.0544	0.0368	5	3	5
0.0133	0.0065	1.7786	1.839	0.0603	0.0538	6	5	4
0.0133	0.0016	1.7908	1.8406	0.0497	0.0481	4	4	3
0.024	0.0087	1.8143	1.8493	0.0349	0.0262	3	2	3
0.024	0.0053	1.8285	1.8546	0.0261	0.0208	2	2	2
0.024	0.0012	1.8418	1.8559	0.014	0.0127	1	1	1
0.0027	0.0017	1.8659	1.8677	0.0017	0.0	0	0	1
0.0041	0.0030	1.8687	1.8717	0.0030	0.0	0	0	1
