Lambda: 100.0	Ts: 0.0085	Simulation Time: 100.0

IAT   	Ts     	Arr   	Dep   	Tq     	Tw     	q 	w 	n 
0.0211	0.0052	0.8506	0.8657	0.0151	0.0099	1	0	4
0.0211	0.0047	0.8509	0.8705	0.0195	0.0148	1	1	3
0.0211	0.0037	0.8563	0.8742	0.0179	0.0141	1	1	2
0.0211	0.0017	0.8616	0.876	0.0143	0.0126	1	1	1
0.0145	0.0283	0.8827	0.9111	0.0283	0.0	2	0	4
0.0145	6.0E-4	0.8904	0.9118	0.0213	0.0207	2	2	3
0.0145	0.0021	0.8997	0.9139	0.0142	0.012	1	1	2
0.0075	0.0272	0.9051	0.9411	0.0359	0.0087	3	0	4
0.061	0.0053	0.9197	0.9465	0.0267	0.0214	2	2	5
0.061	0.0073	0.925	0.9538	0.0287	0.0214	2	2	4
0.061	0.0041	0.9342	0.958	0.0238	0.0196	2	1	3
0.061	0.0	0.9417	0.9581	0.0164	0.0163	1	1	2
0.061	0.0044	0.9425	0.9626	0.02	0.0155	2	1	1
0.0364	0.0044	1.0035	1.008	0.0044	0.0	0	0	1
9.0E-4	6.0E-4	1.04	1.0407	6.0E-4	0.0	0	0	1
0.0194	0.0204	1.0409	1.0613	0.0204	0.0	2	0	3
0.0194	0.0012	1.0422	1.0626	0.0204	0.0191	2	1	2
0.0028	0.0060	1.047	1.0687	0.0216	0.0156	2	1	2
0.0117	0.0159	1.0664	1.0846	0.0181	0.0022	1	0	6
0.019	0.0136	1.0693	1.0982	0.0288	0.0152	2	1	7
0.019	0.0439	1.0697	1.1421	0.0724	0.0285	7	2	9
0.0079	0.0102	1.0697	1.1523	0.0825	0.0723	8	7	9
0.0189	0.0099	1.0698	1.1623	0.0924	0.0824	9	8	9
0.0189	8.0E-4	1.077	1.1631	0.086	0.0852	8	8	8
0.0189	0.0138	1.0887	1.1769	0.0882	0.0743	8	7	7
0.0072	0.0044	1.092	1.1814	0.0894	0.0849	8	8	7
0.0072	2.0E-4	1.1111	1.1817	0.0705	0.0703	7	7	6
0.0054	0.0038	1.112	1.1855	0.0734	0.0696	7	6	6
0.0051	0.0075	1.1313	1.193	0.0616	0.0541	6	5	6
0.0177	0.0054	1.1504	1.1985	0.048	0.0425	4	4	6
0.0177	0.0029	1.1584	1.2014	0.043	0.04	4	4	5
0.0177	0.0014	1.1774	1.2028	0.0254	0.024	2	2	4
0.0177	0.0021	1.1846	1.2049	0.0203	0.0181	2	1	3
0.0177	0.0062	1.1901	1.2112	0.021	0.0148	2	1	2
0.0121	0.0095	1.1953	1.2207	0.0254	0.0158	2	1	5
0.0121	0.0096	1.213	1.2303	0.0173	0.0077	1	0	4
0.0059	0.0030	1.2179	1.2334	0.0154	0.0124	1	1	4
0.0308	0.035	1.2179	1.2684	0.0505	0.0154	5	1	6
0.0308	0.0055	1.2183	1.274	0.0557	0.0501	5	5	5
0.0173	0.0033	1.2304	1.2773	0.0468	0.0435	4	4	6
0.0173	0.0054	1.2364	1.2828	0.0463	0.0408	4	4	5
0.0065	0.0486	1.2409	1.3315	0.0905	0.0418	9	4	13
0.0065	9.0E-4	1.244	1.3325	0.0884	0.0874	8	8	12
0.0108	0.0211	1.2749	1.3536	0.0786	0.0575	7	5	14
0.0036	0.0024	1.2759	1.3561	0.0801	0.0777	8	7	14
0.0078	0.0115	1.2932	1.3677	0.0744	0.0628	7	6	15
0.0061	0.0051	1.3085	1.3728	0.0642	0.0591	6	5	16
0.0129	0.0404	1.3111	1.4132	0.1021	0.0617	10	6	20
0.0153	0.0158	1.3134	1.429	0.1156	0.0998	11	9	23
0.0244	0.017	1.3158	1.4461	0.1302	0.1131	13	11	23
0.0244	0.0013	1.3163	1.4475	0.1311	0.1297	13	12	22
0.0081	0.02	1.3241	1.4675	0.1433	0.1233	14	12	22
0.0081	0.0018	1.3292	1.4693	0.1401	0.1382	14	13	21
0.0081	0.0014	1.3303	1.4708	0.1404	0.139	14	13	20
0.0081	0.0031	1.3369	1.4739	0.137	0.1338	13	13	19
0.0488	0.0022	1.3412	1.4761	0.1348	0.1326	13	13	19
0.0488	0.0034	1.3444	1.4795	0.135	0.1316	13	13	18
0.0488	0.0079	1.3553	1.4875	0.1321	0.1241	13	12	17
0.0488	0.0025	1.359	1.49	0.131	0.1285	13	12	16
0.0488	0.0063	1.3646	1.4964	0.1317	0.1254	13	12	15
0.0409	0.0483	1.3725	1.5447	0.1722	0.1239	17	12	15
0.0409	0.0073	1.3726	1.552	0.1794	0.1721	17	17	14
0.0409	0.0119	1.3787	1.564	0.1852	0.1733	18	17	13
0.0082	4.0E-4	1.3856	1.5644	0.1787	0.1783	17	17	13
0.0267	0.0193	1.386	1.5837	0.1977	0.1784	19	17	15
0.0267	0.0062	1.3982	1.59	0.1918	0.1855	19	18	14
0.0234	0.043	1.4028	1.633	0.2302	0.1872	23	18	18
0.0077	0.0211	1.4157	1.6542	0.2384	0.2173	23	21	18
0.0077	7.0E-4	1.422	1.6549	0.2329	0.2321	23	23	17
0.0254	0.0103	1.4261	1.6653	0.2392	0.2288	23	22	17
0.0030	0.0308	1.4265	1.6962	0.2696	0.2387	26	23	19
0.0029	0.0031	1.4418	1.6993	0.2574	0.2543	25	25	19
0.0077	0.0055	1.4663	1.7048	0.2385	0.2329	23	23	19
0.0013	0.0049	1.4744	1.7098	0.2354	0.2304	23	23	19
0.0013	1.0E-4	1.5232	1.71	0.1867	0.1865	18	18	18
0.0078	0.0225	1.5642	1.7325	0.1683	0.1458	16	14	22
0.0055	0.0193	1.5724	1.7518	0.1794	0.1601	17	16	24
0.0072	0.0063	1.574	1.7581	0.1841	0.1778	18	17	25
0.0072	0.0016	1.5784	1.7598	0.1814	0.1797	18	17	24
0.0186	0.0121	1.6051	1.7719	0.1668	0.1547	16	15	24
0.0078	0.0175	1.6057	1.7895	0.1837	0.1662	18	16	25
0.0078	2.0E-4	1.618	1.7898	0.1718	0.1715	17	17	24
0.0066	0.0026	1.6213	1.7925	0.1712	0.1685	17	16	25
0.0066	0.0040	1.6261	1.7965	0.1704	0.1664	17	16	24
0.0066	2.0E-4	1.6495	1.7968	0.1472	0.1469	14	14	23
0.0093	0.0038	1.6573	1.8007	0.1433	0.1394	14	13	23
0.0093	0.0039	1.6827	1.8046	0.1218	0.1179	12	11	22
0.0093	0.0014	1.6889	1.8061	0.1172	0.1157	11	11	21
0.0127	0.0011	1.696	1.8072	0.1112	0.11	11	11	21
0.0127	0.0071	1.6991	1.8144	0.1153	0.1081	11	10	20
0.0061	0.0135	1.702	1.8279	0.1259	0.1123	12	11	22
0.0061	0.0031	1.7097	1.8311	0.1213	0.1182	12	11	21
0.0063	0.0041	1.7111	1.8352	0.124	0.1199	12	11	21
0.0063	0.0017	1.7139	1.8369	0.123	0.1213	12	12	20
0.0063	0.0011	1.7149	1.8381	0.1231	0.122	12	12	19
0.0156	0.0053	1.7238	1.8434	0.1196	0.1143	11	11	23
0.0156	0.0084	1.7319	1.8519	0.12	0.1115	12	11	22
0.0156	8.0E-4	1.7398	1.8527	0.1129	0.1121	11	11	21
0.0104	0.0245	1.7464	1.8773	0.1308	0.1062	13	10	24
0.0301	0.0098	1.7474	1.8872	0.1397	0.1298	13	12	24
0.0301	0.0015	1.753	1.8887	0.1357	0.1341	13	13	23
0.0301	0.0043	1.7535	1.8931	0.1395	0.1352	13	13	22
0.0301	5.0E-4	1.7607	1.8936	0.1329	0.1323	13	13	21
0.0301	0.0039	1.7794	1.8976	0.1181	0.1142	11	11	20
0.0091	0.0385	1.7821	1.9362	0.1541	0.1155	15	11	23
0.0091	2.0E-4	1.79	1.9364	0.1464	0.1462	14	14	22
0.0149	0.0088	1.791	1.9453	0.1543	0.1454	15	14	22
0.0203	0.0128	1.7976	1.9581	0.1604	0.1476	16	14	22
0.0203	0.015	1.807	1.9731	0.166	0.151	16	15	21
0.0010	0.0135	1.8198	1.9866	0.1668	0.1533	16	15	24
0.0061	0.0024	1.8219	1.989	0.1671	0.1647	16	16	24
0.0061	0.0016	1.8265	1.9907	0.1641	0.1625	16	16	23
0.0073	0.0099	1.8326	2.0006	0.168	0.158	16	15	25
0.0073	0.0014	1.8389	2.0021	0.1631	0.1616	16	16	24
0.0118	0.0132	1.8399	2.0154	0.1754	0.1622	17	16	24
0.0048	9.0E-4	1.84	2.0163	0.1762	0.1753	17	17	24
0.0103	0.0136	1.8404	2.03	0.1895	0.1759	18	17	24
0.0179	0.0215	1.8424	2.0516	0.2091	0.1875	20	18	25
0.0179	0.0049	1.858	2.0565	0.1984	0.1935	19	19	24
0.0122	0.0050	1.8593	2.0616	0.2022	0.1971	20	19	24
0.0122	0.0018	1.8642	2.0635	0.1993	0.1974	19	19	23
0.0122	0.0036	1.8742	2.0671	0.1928	0.1892	19	18	22
0.0141	0.0129	1.8847	2.0801	0.1953	0.1824	19	18	23
0.0157	0.0050	1.9148	2.0851	0.1702	0.1652	17	16	23
0.0157	0.0034	1.9206	2.0886	0.168	0.1645	16	16	22
0.0157	0.0047	1.9292	2.0933	0.1641	0.1593	16	15	21
0.0052	0.0072	1.9294	2.1005	0.1711	0.1639	17	16	21
0.0177	0.0138	1.9386	2.1144	0.1757	0.1619	17	16	21
0.0063	0.0104	1.9535	2.1248	0.1713	0.1608	17	16	21
0.0082	0.0062	1.9738	2.1311	0.1572	0.1509	15	15	21
0.0056	0.01	1.9762	2.1411	0.1649	0.1549	16	15	21
0.0054	0.0025	1.981	2.1436	0.1625	0.16	16	16	21
0.0103	0.0121	1.9858	2.1557	0.1699	0.1578	16	15	23
0.0103	0.0015	1.9868	2.1573	0.1704	0.1688	17	16	22
0.0103	0.0018	1.993	2.1591	0.1661	0.1643	16	16	21
0.0292	0.0121	1.9949	2.1713	0.1763	0.1642	17	16	21
0.0292	8.0E-4	1.9969	2.1722	0.1753	0.1744	17	17	20
0.0292	0.0082	2.0042	2.1804	0.1762	0.1679	17	16	19
0.0041	0.0274	2.016	2.2079	0.1918	0.1644	19	16	23
0.0060	0.0033	2.0209	2.2112	0.1903	0.1869	19	18	23
0.0060	0.0035	2.0313	2.2147	0.1834	0.1799	18	17	22
0.0093	0.0046	2.0391	2.2194	0.1802	0.1755	18	17	23
0.0298	0.0109	2.0571	2.2303	0.1732	0.1622	17	16	23
0.0298	0.0104	2.0694	2.2408	0.1714	0.1609	17	16	22
0.0298	0.0134	2.0701	2.2542	0.184	0.1706	18	17	21
0.0058	0.0037	2.0843	2.258	0.1737	0.1699	17	16	21
0.0257	0.0053	2.1001	2.2634	0.1633	0.1579	16	15	21
0.0257	0.0076	2.1053	2.2711	0.1657	0.158	16	15	20
0.0257	0.0018	2.123	2.2729	0.1498	0.148	14	14	19
0.0257	0.0023	2.1294	2.2753	0.1459	0.1435	14	14	18
0.0194	0.0156	2.1376	2.2909	0.1533	0.1376	15	13	18
0.0194	0.0020	2.1433	2.293	0.1497	0.1476	14	14	17
0.0194	0.0088	2.1487	2.3018	0.1531	0.1442	15	14	16
0.0194	0.0031	2.1508	2.3049	0.154	0.1509	15	15	15
0.0194	7.0E-4	2.1511	2.3057	0.1546	0.1538	15	15	14
0.0063	0.0043	2.1614	2.3101	0.1487	0.1443	14	14	14
0.0063	0.0028	2.1907	2.3129	0.1222	0.1194	12	11	13
0.0060	0.0043	2.1996	2.3172	0.1176	0.1133	11	11	13
0.0060	3.0E-4	2.2002	2.3176	0.1173	0.1169	11	11	12
0.0114	0.0099	2.202	2.3276	0.1255	0.1155	12	11	12
0.0070	0.0079	2.2046	2.3355	0.1309	0.1229	13	12	12
0.0283	0.0151	2.2088	2.3507	0.1418	0.1267	14	12	12
0.0283	0.0019	2.2149	2.3526	0.1377	0.1357	13	13	11
0.0283	0.0111	2.2172	2.3638	0.1465	0.1353	14	13	10
0.0283	0.0012	2.2266	2.365	0.1384	0.1372	13	13	9
0.0157	0.0069	2.2564	2.372	0.1155	0.1086	11	10	11
0.0157	7.0E-4	2.2623	2.3728	0.1105	0.1097	11	10	10
0.0371	0.0227	2.288	2.3955	0.1075	0.0848	10	8	10
0.0371	4.0E-4	2.3074	2.396	0.0885	0.0881	8	8	9
0.0109	0.0311	2.3138	2.4272	0.1134	0.0822	11	8	11
0.0109	0.0025	2.3198	2.4298	0.11	0.1074	11	10	10
0.0109	0.0030	2.3312	2.4329	0.1016	0.0985	10	9	9
0.0054	0.0046	2.3383	2.4375	0.0991	0.0945	9	9	10
0.0060	0.0116	2.3667	2.4492	0.0825	0.0708	8	7	12
0.0337	0.0234	2.3696	2.4727	0.103	0.0795	10	7	12
0.0337	3.0E-4	2.3713	2.473	0.1016	0.1013	10	10	11
0.0089	0.0162	2.387	2.4892	0.1021	0.0859	10	8	11
0.0089	3.0E-4	2.4242	2.4896	0.0654	0.065	6	6	10
0.0062	0.0121	2.4252	2.5017	0.0764	0.0643	7	6	12
0.0062	0.0045	2.4259	2.5062	0.0803	0.0758	8	7	11
0.0146	0.0038	2.4368	2.5101	0.0732	0.0693	7	6	12
0.0048	0.017	2.4371	2.5271	0.09	0.073	9	7	12
0.01	0.0056	2.4426	2.5328	0.0901	0.0845	9	8	12
0.0077	0.0114	2.4445	2.5442	0.0996	0.0882	9	8	14
0.0368	0.0062	2.4456	2.5504	0.1048	0.0986	10	9	14
0.0368	0.0113	2.4516	2.5617	0.1101	0.0988	11	9	13
0.0368	0.0136	2.4853	2.5754	0.09	0.0764	9	7	12
0.0368	0.0087	2.4943	2.5842	0.0898	0.0811	8	8	11
0.0204	0.0037	2.4972	2.5879	0.0907	0.0869	9	8	11
0.0204	7.0E-4	2.5007	2.5887	0.088	0.0872	8	8	10
0.0204	6.0E-4	2.507	2.5893	0.0823	0.0817	8	8	9
0.0204	0.0015	2.5087	2.5909	0.0822	0.0806	8	8	8
0.0204	0.0108	2.5233	2.6017	0.0784	0.0675	7	6	7
